date,threshold,forecasted_max,actual_max,market_prob,model_prob,edge,bet_size,bet_won,profit,bankroll
2025-11-09,64-65,63.6,61.5,0.057,0.1295130169524858,0.0725130169524858,70.71240219706232,False,-70.71240219706232,3607.622775362741
2025-11-11,≤39,40.0,39.8,0.1305,0.4406394419750882,0.3101394419750882,180.38113876813708,False,-180.38113876813708,3427.241636594604
2025-11-24,53-54,53.5,52.7,0.065,0.1492266125038264,0.0842266125038264,77.18314258888596,False,-77.18314258888596,3350.0584940057183
2025-11-27,47-48,48.6,49.5,0.095,0.1507920487238778,0.0557920487238778,51.63166484127291,False,-51.63166484127291,3298.4268291644453
2025-12-05,29-30,31.3,30.6,0.0615,0.1382882722654133,0.0767882722654133,67.46949850970258,False,-67.46949850970258,3230.9573306547427
2025-12-08,≥37,37.6,35.8,0.255,0.497818641970099,0.242818641970099,161.54786653273715,False,-161.54786653273715,3069.4094641220054
2025-12-11,38-39,39.5,39.3,0.0855,0.1517675398036693,0.0662675398036693,55.60476048044406,False,-55.60476048044406,3013.804703641561
2025-12-21,≥48,47.3,45.9,0.09,0.305509253657841,0.215509253657841,150.69023518207808,False,-150.69023518207808,2863.1144684594838
2025-12-25,≥44,49.8,46.8,0.925,0.9776326829920516,0.0526326829920517,143.15572342297418,True,11.607220818078964,2874.7216892775623
2025-12-26,26-27,27.8,27.6,0.05,0.1482006304821649,0.0982006304821649,74.28933745995026,False,-74.28933745995026,2800.432351817612
2025-12-28,34-35,34.9,35.6,0.053,0.1529287878814985,0.0999287878814985,73.87640191691348,False,-73.87640191691348,2726.5559499006986
